,0,1,2,3,4,5,6,7,8,9,10,11,12,13
112,frosinone,Pinamonti A.,Att,-,"
-		  ",-,-,-,-,-,-,-,2018-20,1
113,genoa,Marchetti F.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2018-20,1
114,genoa,Vodisek R.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2018-20,1
115,genoa,Radu I.,Por,-,"
		  			-
		  ",-,-,-,-,-,-,6,2018-20,1
116,genoa,Lopez L.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
117,genoa,Biraschi D.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
118,genoa,Spolli N.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
119,genoa,Gunter K.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
120,genoa,Criscito D.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
121,genoa,Pereira P.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
122,genoa,Lakicevic I.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
123,genoa,Zukanovic E.,Dif,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
124,genoa,Lazovic D.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
125,genoa,Hiljemark O.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
126,genoa,Mazzitelli L.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
127,genoa,Callegari L.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
128,genoa,Sandro R.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
129,genoa,Romulo O.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
130,genoa,Rolon E.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
131,genoa,Omeonga S.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
132,genoa,Bessa D.,Cen,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
133,genoa,Pandev G.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
134,genoa,Dalmonte N.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
135,genoa,Medeiros I.,Tre,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
136,genoa,Piatek K.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
137,genoa,Kouame C.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
138,genoa,Favilli A.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
139,genoa,Lapadula G.,Att,-,"
-		  ",-,-,-,-,-,-,6,2018-20,1
140,inter,Handanovic S.,Por,6,"
		  			-1
		  ",-,-,-,-,-,-,5,2018-20,1
141,inter,Dambrosio D.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
142,inter,Dalbert H.,Dif,4.5,"
-		  ",-,-,-,-,-,-,4.5,2018-20,1
143,inter,Asamoah K.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
144,inter,Miranda J.,Dif,5,"
-		  ",-,-,-,-,1,-,4.5,2018-20,1
145,inter,De Vrij S.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
146,inter,Vecino M.,Cen,5,"
-		  ",-,-,-,-,1,-,4.5,2018-20,1
147,inter,Brozovic M.,Cen,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
148,inter,Politano M.,Tre,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
149,inter,Martinez L.,Att,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
150,inter,Icardi M.,Att,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
151,inter,Karamoh Y.,Tre,-,"
-		  ",-,-,-,-,-,-,-,2018-20,1
152,inter,Keita B.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
153,inter,Perisic I.,Tre,6.5,"
-		  ",-,-,-,-,-,-,6.5,2018-20,1
154,juventus,Szczesny W.,Por,6,"
		  			-2
		  ",-,-,-,-,-,-,4,2018-20,1
155,juventus,Alex Sandro L.,Dif,7,"
-		  ",1,-,-,-,-,-,8,2018-20,1
156,juventus,Bonucci L.,Dif,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
157,juventus,Cancelo J.,Dif,5.5,"
-		  ",-,-,-,-,-,-,5.5,2018-20,1
158,juventus,Chiellini G.,Dif,6.5,"
-		  ",1,-,-,-,-,-,7.5,2018-20,1
159,juventus,Pjanic M.,Cen,6.5,"
-		  ",-,-,-,-,-,-,6.5,2018-20,1
160,juventus,Khedira S.,Cen,6,"
1		  ",-,-,-,-,-,-,10,2018-20,1
161,juventus,Dybala P.,Tre,5,"
-		  ",-,-,-,-,-,-,5,2018-20,1
162,juventus,Douglas Costa d.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
163,juventus,Cuadrado J.,Tre,6,"
-		  ",-,-,-,-,-,-,6,2018-20,1
