Id,R,Nome,Squadra,,Qt. I,Diff.
574,P,SCUFFET,Udinese,,1,2
97,P,SECULIN,Chievo,,1,0
2861,P,SEMPER,Chievo,,1,0
159,P,SEPE,Parma,,6,4
2179,P,SIRIGU,Torino,,11,1
133,P,SKORUPSKI,Bologna,,9,1
413,P,SORRENTINO,Chievo,,9,2
4,P,SPORTIELLO,Frosinone,,6,1
1934,P,STRAKOSHA,Lazio,,12,0
453,P,SZCZESNY,Juventus,,18,-1
2815,P,TERRACCIANO,Empoli,,1,3
2761,P,VODISEK,Genoa,,1,0
353,D,ABATE,Milan,,3,3
513,D,ACERBI,Lazio,,12,3
824,D,ADJAPONG,Sassuolo,,3,-1
575,D,ADNAN,Atalanta,,3,-2
2865,D,AINA,Torino,,4,3
388,D,ALBIOL,Napoli,,13,-3
662,D,ALEX SANDRO,Juventus,,17,-2
2320,D,ANDERSEN,Sampdoria,,6,2
251,D,ANDREOLLI,Cagliari,,4,-3
706,D,ANSALDI,Torino,,11,-2
356,D,ANTONELLI,Empoli,,4,0
515,D,ARIAUDO,Frosinone,,4,1
295,D,ASAMOAH,Inter,,9,0
2285,D,BANI,Chievo,,6,0
134,D,BARBA,Chievo,,4,2
285,D,BARZAGLI,Juventus,,3,-2
319,D,BASTA,Lazio,,3,-2
2120,D,BASTONI,Parma,,1,6
2062,D,BASTOS,Lazio,,8,-4
1931,D,BENATIA,Juventus,,10,-3
2104,D,BERESZYNSKI,Sampdoria,,7,-2
2737,D,BETTELLA,Atalanta,,1,0
2783,D,BIANDA,Roma,,1,0
252,D,BIRAGHI,Fiorentina,,6,3
2083,D,BIRASCHI,Genoa,,6,2
2192,D,BONIFAZI,SPAL,,3,3
286,D,BONUCCI,Juventus,,12,0
2788,D,BREMER,Torino,,4,-3
2810,D,BRIGHENTI,Frosinone,,2,-1
1864,D,BRUNO ALVES,Parma,,5,5
99,D,CACCIATORE,Chievo,,7,-2
287,D,CACERES,Lazio,,5,-2
2745,D,CALABRESI,Bologna,,1,4
357,D,CALABRIA,Milan,,6,1
1847,D,CALDARA,Milan,,12,-6
2310,D,CANCELO,Juventus,,14,-2
1865,D,CAPUANO,Frosinone,,5,0
2197,D,CASTAGNE,Atalanta,,6,-1
1891,D,CECCHERINI,Fiorentina,,6,-1
1866,D,CEPPITELLI,Cagliari,,8,-3
100,D,CESAR,Chievo,,1,0
288,D,CHIELLINI,Juventus,,12,2
640,D,CHIRICHES,Napoli,,3,-2
780,D,CIONEK,SPAL,,9,-2
2784,D,COLLEY,Sampdoria,,7,-1
11,D,CONTI,Milan,,7,-4
817,D,COSTA F,SPAL,,4,-1
2759,D,CRISCITO,Genoa,,9,-1
2289,D,DALBERT,Inter,,3,-1
253,D,D'AMBROSIO,Inter,,8,0
578,D,DANILO,Bologna,,8,1
224,D,DE MAIO,Bologna,,7,-3
358,D,DE SCIGLIO,Juventus,,7,1
487,D,DE SILVESTRI,Torino,,14,-2
322,D,DE VRIJ,Inter,,17,-2
517,D,DELL'ORCO,Sassuolo,,4,-2
2816,D,DI LORENZO,Empoli,,5,2
2787,D,DICKMANN,SPAL,,2,0
2746,D,DIJKS,Bologna,,5,-1
1918,D,DIKS,Fiorentina,,4,-3
254,D,DIMARCO,Parma,,5,-1
2869,D,DJIDJI,Torino,,5,2
787,D,DJIMSITI,Atalanta,,2,0
2831,D,DJOUROU,SPAL,,8,-3
2772,D,DURMISI,Lazio,,5,-4
2116,D,FARAGO',Cagliari,,4,1
2016,D,FAZIO,Roma,,11,-1
708,D,FELIPE,SPAL,,6,0
45,D,FERRARI A,Sampdoria,,4,-3
1895,D,FERRARI G,Sassuolo,,8,1
464,D,FLORENZI,Roma,,14,0
73,D,GAGLIOLO,Parma,,6,2
519,D,GAZZOLA,Parma,,5,-1
244,D,GHIGLIONE,Frosinone,,2,0
390,D,GHOULAM,Napoli,,9,-2
105,D,GOBBI,Parma,,2,1
418,D,GOLDANIGA,Frosinone,,6,1
419,D,GONZALEZ G,Bologna,,6,-1
2160,D,GOSENS,Atalanta,,7,3
2758,D,GUNTER,Genoa,,3,0
2754,D,HANCKO,Fiorentina,,3,-2
2130,D,HATEBOER,Atalanta,,8,4
615,D,HELANDER,Bologna,,7,0
140,D,HYSAJ,Napoli,,9,-1
2801,D,IACOPONI,Parma,,2,4
226,D,IZZO,Torino,,9,2
2208,D,JAROSZYNSKI,Chievo,,5,-1
256,D,JUAN JESUS,Roma,,7,0
2797,D,JUNIOR TAVARES,Sampdoria,,3,-2
2180,D,KARSDORP,Roma,,6,-4
2871,D,KLAVAN,Cagliari,,7,-1
2214,D,KOLAROV,Roma,,17,0
392,D,KOULIBALY,Napoli,,17,-2
1867,D,KRAJNC,Frosinone,,4,-2
2757,D,LAKICEVIC,Genoa,,5,-4
141,D,LAURINI,Fiorentina,,3,-1
2594,D,LEMOS,Sassuolo,,7,-4
2300,D,LEVERBE,Sampdoria,,1,0
2006,D,LIROLA,Sassuolo,,6,4
2651,D,LISANDRO LOPEZ,Genoa,,7,-4
2335,D,LUIZ FELIPE,Lazio,,8,0
1999,D,LUKAKU J,Lazio,,5,-1
393,D,LUPERTO,Napoli,,2,-1
2171,D,LYANCO,Torino,,6,-4
2653,D,LYKOGIANNIS,Cagliari,,5,-3
2769,D,MAGNANI,Sassuolo,,2,3
48,D,MAIETTA,Empoli,,5,0
550,D,MAKSIMOVIC,Napoli,,4,-1
2860,D,MALCUIT,Napoli,,7,0
2296,D,MANCINI G,Atalanta,,8,4
459,D,MANOLAS,Roma,,12,0
2782,D,MARCANO,Roma,,7,-4
2753,D,MARCJANIK,Empoli,,4,-3
142,D,MARIO RUI,Napoli,,8,-2
2355,D,MARLON,Sassuolo,,8,-1
15,D,MASIELLO A,Atalanta,,14,-6
106,D,MATTIELLO,Bologna,,8,-1
50,D,MBAYE,Bologna,,5,1
2164,D,MILENKOVIC,Fiorentina,,6,3
257,D,MIRANDA,Inter,,7,-3
551,D,MOLINARO,Frosinone,,7,-3
552,D,MORETTI,Torino,,3,1
1868,D,MURRU,Sampdoria,,6,3
2168,D,MUSACCHIO,Milan,,5,-1
2288,D,N'KOULOU,Torino,,12,2
2280,D,NUYTINCK,Udinese,,5,2
2793,D,OPOKU,Udinese,,3,0
1876,D,PAJAC,Cagliari,,2,0
2181,D,PALOMINO,Atalanta,,7,1
166,D,PASQUAL,Empoli,,7,1
327,D,PATRIC,Lazio,,2,1
2747,D,PAZ,Bologna,,4,-3
2728,D,PELLEGRINI LU,Roma,,3,-2
521,D,PELUSO,Sassuolo,,4,-3
729,D,PEREIRA P,Genoa,,3,-1
2309,D,PEZZELLA GER,Fiorentina,,10,0
770,D,PEZZELLA GIU,Udinese,,5,-3
1869,D,PISACANE,Cagliari,,4,1
329,D,RADU,Lazio,,8,0
261,D,RANOCCHIA,Inter,,4,-3
2752,D,RASMUSSEN,Empoli,,3,-1
2739,D,RECA,Atalanta,,5,-4
490,D,REGINI,Sampdoria,,3,-2
2182,D,RIGIONE,Chievo,,1,0
2169,D,RODRIGUEZ R,Milan,,8,1
2318,D,ROGERIO,Sassuolo,,4,-1
2279,D,ROMAGNA,Cagliari,,6,0
460,D,ROMAGNOLI A,Milan,,10,-1
4307,D,ROMERO C,Genoa,,1,5
54,D,ROSSETTINI,Chievo,,5,1
294,D,RUGANI,Juventus,,8,-3
630,D,SALA,Sampdoria,,3,1
491,D,SALAMON,Frosinone,,4,-1
790,D,SAMIR,Udinese,,6,-1
262,D,SANTON,Roma,,3,1
2847,D,SERNICOLA,Sassuolo,,1,0
4302,D,SIERRALTA,Parma,,1,0
492,D,SILVESTRE,Empoli,,7,1
2129,D,SIMIC L,SPAL,,2,-1
362,D,SIMIC S,Milan,,2,-1
798,D,SKRINIAR,Inter,,16,-1
1852,D,SPINAZZOLA,Juventus,,6,-4
78,D,SPOLLI,Genoa,,6,-3
2749,D,SRNA,Cagliari,,7,2
395,D,STRINIC,Milan,,5,-4
2315,D,STRYGER LARSEN,Udinese,,6,3
2663,D,TANASIJEVIC,Chievo,,1,0
2795,D,TER AVEST,Udinese,,3,2
695,D,TOLOI,Atalanta,,10,1
169,D,TOMOVIC,Chievo,,6,-2
144,D,TONELLI,Sampdoria,,6,3
2870,D,TROOST-EKONG,Udinese,,3,5
2817,D,UNTERSEE,Empoli,,3,-1
2740,D,VARNIER,Atalanta,,1,0
2064,D,VESELI,Empoli,,4,0
2261,D,VICARI,SPAL,,4,2
2165,D,VITOR HUGO,Fiorentina,,6,1
523,D,VRSALJKO,Inter,,14,-3
587,D,WAGUE,Udinese,,1,0
2007,D,WALLACE,Lazio,,5,-1
1952,D,ZAMPANO,Frosinone,,5,2
365,D,ZAPATA C,Milan,,4,1
493,D,ZUKANOVIC,Genoa,,5,-2
555,C,ACQUAH,Empoli,,4,1
397,C,ALLAN,Napoli,,17,-1
170,C,BADELJ,Lazio,,7,-3
589,C,BADU,Udinese,,5,-4
2639,C,BAKAYOKO,Milan,,11,-3
813,C,BALIC,Udinese,,3,-2
2172,C,BARAK,Udinese,,15,-7
1870,C,BARELLA,Cagliari,,14,0
2802,C,BARILLA',Parma,,3,4
494,C,BARRETO,Sampdoria,,5,0
556,C,BASELLI,Torino,,10,3
2105,C,BEGHETTO,Frosinone,,2,2
2302,C,BEHRAMI,Udinese,,4,3
557,C,BENASSI,Fiorentina,,12,2
2818,C,BENNACER,Empoli,,6,2
2166,C,BENTANCUR,Juventus,,8,1
2205,C,BERENGUER,Torino,,5,1
2771,C,BERISHA V,Lazio,,11,-4
184,C,BERNARDESCHI,Juventus,,16,-3
366,C,BERTOLACCI,Milan,,8,-5
264,C,BESSA,Genoa,,7,1
276,C,BIABIANY,Parma,,5,-1
331,C,BIGLIA,Milan,,8,-2
111,C,BIRSA,Chievo,,12,0
771,C,BOATENG,Sassuolo,,20,0
2832,C,BOGA,Sassuolo,,8,-4
367,C,BONAVENTURA,Milan,,20,-3
2187,C,BORINI,Milan,,6,-2
172,C,BORJA VALERO,Inter,,6,1
2825,C,BOURABIA,Sassuolo,,5,2
2854,C,BRADARIC,Cagliari,,9,-3
56,C,BRIGHI,Empoli,,2,-1
265,C,BROZOVIC,Inter,,16,-2
2332,C,BRUNO JORDAO,Lazio,,1,0
2877,C,BURRUCHAGA,Chievo,,1,0
2194,C,CALHANOGLU,Milan,,21,-6
2504,C,CAN ,Juventus,,19,-5
332,C,CANDREVA,Inter,,13,-4
173,C,CAPEZZI,Empoli,,4,-2
2213,C,CASSATA,Frosinone,,2,2
112,C,CASTRO,Cagliari,,12,-2
333,C,CATALDI,Lazio,,4,0
202,C,CHIBSAH,Frosinone,,3,5
2002,C,CHIESA,Fiorentina,,23,0
2243,C,CICIRETTI,Parma,,12,-5
20,C,CIGARINI,Cagliari,,7,-3
2780,C,CORIC,Roma,,3,-2
495,C,CORREA,Lazio,,12,2
2144,C,COULIBALY,Udinese,,1,0
57,C,CRISETIG,Frosinone,,5,-3
779,C,CRISTANTE,Roma,,18,1
697,C,CUADRADO,Juventus,,18,-4
2659,C,DABO,Fiorentina,,7,-2
21,C,D'ALESSANDRO,Udinese,,3,2
1996,C,DE PAUL,Udinese,,15,6
22,C,DE ROON,Atalanta,,8,2
463,C,DE ROSSI,Roma,,8,-2
1871,C,DEIOLA,Parma,,3,1
2141,C,DEPAOLI,Chievo,,4,2
1872,C,DESSENA,Cagliari,,3,-1
400,C,DEZI,Parma,,5,-4
81,C,DI GAUDIO,Parma,,4,0
58,C,DIAWARA,Napoli,,9,-4
1995,C,DJURICIC,Sassuolo,,5,1
669,C,DONSAH,Bologna,,8,-5
2200,C,DOUGLAS COSTA,Juventus,,24,-8
526,C,DUNCAN,Sassuolo,,8,4
713,C,DZEMAILI,Bologna,,13,-7
2391,C,EKDAL,Sampdoria,,8,2
2652,C,EVERTON LUIZ,SPAL,,6,-2
2290,C,EYSSERIC,Fiorentina,,8,-2
633,C,FARES,SPAL,,5,2
2863,C,FERNANDES,Fiorentina,,7,-2
1986,C,FOFANA,Udinese,,9,1
788,C,FREULER,Atalanta,,16,1
801,C,GAGLIARDINI,Inter,,7,-1
1967,C,GERSON,Fiorentina,,11,-2
702,C,GIACCHERINI,Chievo,,14,-3
205,C,GORI,Frosinone,,1,0
27,C,GRASSI,Parma,,9,-4
2774,C,HALILOVIC,Milan,,2,-1
626,C,HALLFREDSSON,Frosinone,,3,-2
402,C,HAMSIK,Napoli,,15,-5
115,C,HETEMAJ,Chievo,,6,-1
433,C,HILJEMARK,Genoa,,6,1
177,C,ILICIC,Atalanta,,26,-5
2191,C,INGELSSON,Udinese,,1,0
627,C,IONITA,Cagliari,,9,0
1987,C,JANKTO,Sampdoria,,15,-7
2078,C,JOAO MARIO,Inter,,3,4
1874,C,JOAO PEDRO,Cagliari,,13,3
2850,C,KATUMA,SPAL,,1,0
1850,C,KESSIE',Milan,,11,1
299,C,KHEDIRA,Juventus,,18,-5
2107,C,KIYINE,Chievo,,3,1
1858,C,KREJCI,Bologna,,5,-1
148,C,KRUNIC,Empoli,,9,3
2833,C,KULUSEVSKI,Atalanta,,1,0
28,C,KURTIC,SPAL,,9,1
235,C,LAXALT,Milan,,9,-3
236,C,LAZOVIC,Genoa,,5,5
2263,C,LAZZARI M,SPAL,,10,4
2008,C,LINETTY,Sampdoria,,6,2
827,C,LOCATELLI M,Sassuolo,,7,0
83,C,LOLLO,Empoli,,4,-3
2209,C,LUCAS LEIVA,Lazio,,12,-2
2085,C,LUIS ALBERTO,Lazio,,27,-8
2009,C,LUKIC,Torino,,2,0
338,C,LULIC,Lazio,,11,1
528,C,MAGNANELLI,Sassuolo,,5,-1
651,C,MAIELLO,Frosinone,,5,1
1933,C,MANDRAGORA,Udinese,,9,-2
2188,C,MARUSIC,Lazio,,9,-2
2306,C,MATUIDI,Juventus,,15,1
371,C,MAURI J,Milan,,1,0
1976,C,MAZZITELLI,Genoa,,6,-2
2789,C,MEITE',Torino,,3,6
2011,C,MIGUEL VELOSO,Genoa,,4,0
645,C,MILINKOVIC-SAVIC,Lazio,,30,-6
1936,C,MINALA,Lazio,,2,-1
529,C,MISSIROLI,SPAL,,6,1
372,C,MONTOLIVO,Milan,,4,-3
1875,C,MUNARI,Parma,,1,0
2003,C,MURGIA,Lazio,,3,-2
1859,C,NAGY,Bologna,,4,1
467,C,NAINGGOLAN,Inter,,25,-4
2830,C,NORGAARD,Fiorentina,,5,-2
2617,C,NZONZI,Roma,,11,-1
560,C,OBI,Chievo,,5,0
2293,C,OMEONGA,Genoa,,5,-4
301,C,PADOIN,Cagliari,,4,1
207,C,PAGANINI,Frosinone,,2,-1
342,C,PAROLO,Lazio,,13,3
2077,C,PASALIC,Atalanta,,14,-3
2378,C,PASTORE,Roma,,21,-5
2785,C,PEETERS,Sampdoria,,1,0
530,C,PELLEGRINI LO,Roma,,14,-2
704,C,PERISIC,Inter,,28,-5
237,C,PEROTTI,Roma,,16,-7
2741,C,PESSINA,Atalanta,,5,-2
469,C,PJANIC,Juventus,,20,-1
374,C,POLI,Bologna,,8,3
599,C,PONTISSO,Udinese,,1,0
2065,C,PRAET,Sampdoria,,10,1
644,C,PULGAR,Bologna,,10,-4
118,C,RADOVANOVIC,Chievo,,7,-2
2287,C,RAMIREZ,Sampdoria,,14,1
2852,C,RICCARDI,Roma,,1,0
438,C,RIGONI L,Parma,,8,-1
119,C,RIGONI N,Chievo,,6,-2
238,C,RINCON,Torino,,7,1
2076,C,ROG,Napoli,,6,-1
2856,C,ROLON,Genoa,,5,-1
621,C,ROMULO,Genoa,,9,1
2775,C,RUIZ,Napoli,,14,0
209,C,SAMMARCO,Frosinone,,1,0
2646,C,SANDRO,Genoa,,9,-3
150,C,SAPONARA,Sampdoria,,10,1
2265,C,SCHIATTARELLA,SPAL,,4,2
2804,C,SCOZZARELLA,Parma,,3,2
1978,C,SENSI,Sassuolo,,6,2
210,C,SODDIMO,Frosinone,,5,-1
2625,C,SORIANO,Torino,,12,-4
2732,C,STIJEPOVIC,Sampdoria,,1,0
2778,C,STULAC,Parma,,5,1
2744,C,SVANBERG,Bologna,,3,2
2857,C,TRAORE' HJ,Empoli,,1,5
471,C,UCAN,Empoli,,6,-2
405,C,VALDIFIORI,SPAL,,3,1
2133,C,VALENCIA JM,Bologna,,1,0
2274,C,VALOTI,SPAL,,5,0
2742,C,VALZANIA,Atalanta,,2,-1
181,C,VECINO,Inter,,10,-2
376,C,VERDI,Napoli,,18,-5
2215,C,VERETOUT,Fiorentina,,17,0
2855,C,VIEIRA,Sampdoria,,6,-3
2154,C,VIGNATO,Chievo,,1,0
726,C,VITALE,SPAL,,1,0
631,C,VIVIANI,SPAL,,9,-5
2866,C,VLOET,Frosinone,,6,-2
2124,C,ZAJC,Empoli,,8,2
2766,C,ZANIOLO,Roma,,1,6
152,C,ZIELINSKI,Napoli,,14,0
2267,A,ANTENUCCI,SPAL,,25,-7
2872,A,ARDAIZ,Frosinone,,3,-2
183,A,BABACAR,Sassuolo,,14,1
2805,A,BARAYE,Parma,,5,-4
2719,A,BARROW,Atalanta,,11,-3
441,A,BELOTTI,Torino,,29,-3
531,A,BERARDI,Sassuolo,,16,0
2317,A,BRIGNOLA,Sassuolo,,9,-3
2284,A,CAICEDO,Lazio,,6,-1
2806,A,CALAIO',Parma,,1,0
406,A,CALLEJON,Napoli,,21,-3
2867,A,CAMPBELL,Frosinone,,12,-3
1958,A,CAPRARI,Sampdoria,,10,2
2819,A,CAPUTO,Empoli,,14,4
2692,A,CASTILLEJO,Milan,,16,-3
2246,A,CERAVOLO,Parma,,10,-3
306,A,CERRI,Cagliari,,7,-3
2812,A,CIANO,Frosinone,,10,1
212,A,CIOFANI D,Frosinone,,6,0
2844,A,COLIDIO,Inter,,1,0
2610,A,CRISTIANO RONALDO,Juventus,,49,-2
2155,A,CUTRONE,Milan,,17,-1
2807,A,DA CRUZ,Parma,,5,-3
2878,A,DALMONTE,Genoa,,1,0
2849,A,DAMASCAN,Torino,,1,0
643,A,DEFREL,Sampdoria,,20,0
472,A,DESTRO,Bologna,,13,-7
1857,A,DI FRANCESCO F,Sassuolo,,14,-2
213,A,DIONISI,Frosinone,,11,-6
344,A,DJORDJEVIC,Chievo,,11,-6
309,A,DYBALA,Juventus,,36,-12
647,A,DZEKO,Roma,,35,-12
1839,A,EDERA,Torino,,4,-3
795,A,EL SHAARAWY,Roma,,16,0
532,A,FALCINELLI,Bologna,,16,-7
1879,A,FARIAS,Cagliari,,12,-2
819,A,FAVILLI,Genoa,,10,-5
533,A,FLOCCARI,SPAL,,5,-3
474,A,GERVINHO,Parma,,10,3
26,A,GOMEZ A,Atalanta,,23,0
2840,A,GRAICIAR,Fiorentina,,1,0
408,A,HIGUAIN,Milan,,33,-7
475,A,IAGO FALQUE,Torino,,25,-1
277,A,ICARDI,Inter,,39,-6
785,A,IMMOBILE,Lazio,,41,-6
123,A,INGLESE,Parma,,13,3
409,A,INSIGNE,Napoli,,27,-2
2152,A,JAKUPOVIC,Empoli,,1,0
2097,A,KEAN,Juventus,,7,-4
345,A,KEITA B,Inter,,19,0
2779,A,KLUIVERT,Roma,,18,-3
2762,A,KOUAME',Genoa,,3,8
2198,A,KOWNACKI,Sampdoria,,11,-4
447,A,LA GUMINA,Empoli,,12,-1
1939,A,LAPADULA,Genoa,,12,-6
90,A,LASAGNA,Udinese,,22,-6
2334,A,LERIS,Chievo,,1,1
2040,A,LOMBARDI,Lazio,,3,-2
2827,A,MACHIS,Udinese,,12,-4
312,A,MANDZUKIC,Juventus,,18,5
2764,A,MARTINEZ L,Inter,,17,-3
380,A,MATRI,Sassuolo,,3,1
154,A,MCHEDLIDZE,Empoli,,5,-2
2658,A,MEDEIROS,Genoa,,11,-6
124,A,MEGGIORINI,Chievo,,6,-1
410,A,MERTENS,Napoli,,31,0
2794,A,MICIN,Udinese,,1,0
2012,A,MILIK,Napoli,,26,2
2859,A,MIRALLAS,Fiorentina,,14,-2
2853,A,MONCINI,SPAL,,3,-2
2750,A,MRAZ,Empoli,,7,-3
2765,A,ODGAARD,Sassuolo,,1,0
2100,A,OKWONKWO,Bologna,,5,-2
2167,A,ORSOLINI,Bologna,,3,5
2195,A,OUNAS,Napoli,,7,0
280,A,PALACIO,Bologna,,8,1
126,A,PALOSCHI,SPAL,,13,-3
245,A,PANDEV,Genoa,,9,-2
1982,A,PARIGINI,Torino,,7,-2
247,A,PAVOLETTI,Cagliari,,17,2
2333,A,PEDRO NETO,Lazio,,1,0
127,A,PELLISSIER,Chievo,,3,5
605,A,PERICA,Frosinone,,12,-7
383,A,PETAGNA,SPAL,,15,0
2756,A,PIATEK,Genoa,,13,14
2038,A,PINAMONTI,Frosinone,,7,0
1998,A,PJACA,Fiorentina,,16,-5
536,A,POLITANO,Inter,,15,0
156,A,PUCCIARELLI,Chievo,,4,-3
2826,A,PUSSETTO,Udinese,,12,0
568,A,QUAGLIARELLA,Sampdoria,,28,5
2868,A,RIGONI E,Atalanta,,11,-2
718,A,RODRIGUEZ A,Empoli,,2,-1
2108,A,ROSSI A,Lazio,,1,0
2304,A,SALCEDO MORA,Inter,,1,0
2743,A,SANTANDER,Bologna,,10,3
1882,A,SAU,Cagliari,,9,-3
1974,A,SCHICK,Roma,,17,-4
637,A,SILIGARDI,Parma,,7,1
2061,A,SIMEONE,Fiorentina,,26,-6
2839,A,SOTTIL,Fiorentina,,2,-1
2773,A,SPROCATI,Parma,,1,2
2327,A,STEPINSKI,Chievo,,13,-1
375,A,SUSO,Milan,,21,1
2873,A,TEODORCZYK,Udinese,,12,-5
606,A,THEREAU,Fiorentina,,13,-6
789,A,TROTTA,Sassuolo,,8,-5
778,A,TUMMINELLO,Atalanta,,8,-5
2201,A,UNDER,Roma,,21,-1
2791,A,VIZEU,Udinese,,9,-5
2841,A,VLAHOVIC,Fiorentina,,1,0
2776,A,YOUNES,Napoli,,3,-2
608,A,ZAPATA D,Atalanta,,26,4
315,A,ZAZA,Torino,,22,-5
